game_id,round_id,player_id,to_hare1,to_hare2,to_stag1,chat_visible,others_visible,action
1,1,player1,1,17,4,True,True,miss
1,1,player2,3,17,0,True,True,miss
1,2,player1,12,12,6,True,True,stag
1,2,player2,13,13,7,True,True,stag
1,3,player1,5,8,8,True,True,stag
1,3,player2,5,8,8,True,True,stag
1,4,player1,2,12,12,True,True,stag
1,4,player2,2,12,12,True,True,stag
1,5,player1,14,5,6,True,True,stag
1,5,player2,15,6,7,True,True,stag
2,1,player1,0,11,8,False,False,hare
2,1,player2,1,10,7,False,False,hare
2,2,player1,6,11,9,False,False,stag
2,2,player2,10,11,9,False,False,stag
2,3,player1,11,14,0,False,False,miss
2,3,player2,1,6,12,False,False,miss
2,4,player1,9,14,0,False,False,miss
2,4,player2,1,4,10,False,False,miss
2,5,player1,17,10,1,False,False,miss
2,5,player2,17,0,11,False,False,miss
3,2,player1,1,21,8,True,False,hare
3,2,player2,8,22,1,True,False,hare
3,3,player1,6,7,6,True,False,stag
3,3,player2,6,7,2,True,False,stag
3,4,player1,1,9,5,True,False,miss
3,4,player2,5,7,1,True,False,miss
3,5,player1,1,3,11,True,False,hare
3,5,player2,11,11,1,True,False,hare
4,1,player1,8,17,11,True,True,miss
4,1,player2,1,16,20,True,True,miss
4,2,player1,9,7,18,True,True,stag
4,2,player2,10,8,19,True,True,stag
4,3,player1,3,7,15,True,True,stag
4,3,player2,4,8,16,True,True,stag
4,4,player1,15,13,15,True,True,stag
4,4,player2,14,12,14,True,True,stag
4,5,player1,10,4,10,True,True,stag
4,5,player2,9,3,9,True,True,stag
5,1,player1,2,5,7,False,True,hare
5,1,player2,5,6,0,False,True,hare
5,2,player1,9,15,3,False,True,miss
5,2,player2,0,6,12,False,True,miss
5,3,player1,4,10,8,False,True,stag
5,3,player2,4,10,8,False,True,stag
5,4,player1,6,11,7,False,True,stag
5,4,player2,7,12,6,False,True,stag
5,5,player1,13,13,5,False,True,stag
5,5,player2,14,12,4,False,True,stag
6,1,player1,13,7,1,False,True,miss
6,1,player2,8,0,6,False,True,miss
6,2,player1,12,19,17,False,True,stag
6,2,player2,14,19,17,False,True,stag
6,3,player1,8,9,7,False,True,miss
6,3,player2,1,2,14,False,True,miss
6,4,player1,15,25,11,False,True,stag
6,4,player2,15,25,11,False,True,stag
6,5,player1,9,14,1,False,True,miss
6,5,player2,0,19,8,False,True,miss
7,2,player1,12,1,11,True,True,stag
7,2,player2,12,1,11,True,True,stag
7,3,player1,16,11,15,True,True,stag
7,3,player2,17,12,16,True,True,stag
7,4,player1,6,17,15,True,True,stag
7,4,player2,5,16,16,True,True,stag
7,5,player1,9,11,10,True,True,stag
7,5,player2,9,11,10,True,True,stag
8,1,player1,10,8,1,False,False,hare
8,1,player2,10,0,7,False,False,hare
8,2,player1,2,8,12,False,False,hare
8,2,player2,8,0,4,False,False,hare
8,3,player1,3,0,5,False,False,hare
8,3,player2,6,5,8,False,False,hare
8,4,player1,16,2,10,False,False,hare
8,4,player2,0,14,10,False,False,hare
8,5,player1,0,6,5,False,False,miss
8,5,player2,0,6,5,False,False,miss
9,1,player1,7,0,10,False,False,hare
9,1,player2,2,9,1,False,False,hare
9,2,player1,1,4,5,False,False,hare
9,2,player2,1,4,5,False,False,hare
9,3,player1,0,13,7,False,False,miss
9,3,player2,5,8,4,False,False,miss
9,4,player1,0,17,7,False,False,miss
9,4,player2,4,13,7,False,False,miss
9,5,player1,16,12,3,False,False,stag
9,5,player2,17,13,2,False,False,stag
10,1,player1,9,0,11,True,True,miss
10,1,player2,12,11,0,True,True,miss
10,2,player1,18,0,18,True,True,miss
10,2,player2,8,18,0,True,True,miss
10,3,player1,16,4,12,True,True,stag
10,3,player2,15,3,13,True,True,stag
10,4,player1,15,11,9,True,True,stag
10,4,player2,14,10,8,True,True,stag
10,5,player1,7,11,6,True,True,stag
10,5,player2,7,11,6,True,True,stag
11,2,player1,1,7,5,True,False,stag
11,2,player2,2,6,4,True,False,stag
11,3,player1,12,11,10,True,False,stag
11,3,player2,11,10,9,True,False,stag
11,4,player1,13,13,7,True,False,stag
11,4,player2,12,12,8,True,False,stag
11,5,player1,12,11,11,True,False,stag
11,5,player2,11,10,10,True,False,stag
12,2,player1,6,11,12,False,False,stag
12,2,player2,6,11,12,False,False,stag
12,3,player1,4,6,3,False,False,stag
12,3,player2,3,5,4,False,False,stag
12,4,player1,8,18,8,False,False,stag
12,4,player2,9,17,7,False,False,stag
12,5,player1,2,5,18,False,False,stag
12,5,player2,2,5,18,False,False,stag
13,2,player1,11,16,14,False,True,stag
13,2,player2,11,16,14,False,True,stag
13,3,player1,5,8,0,False,True,miss
13,3,player2,0,5,5,False,True,miss
13,4,player1,6,4,14,False,True,stag
13,4,player2,5,3,13,False,True,stag
13,5,player1,10,3,5,False,True,hare
13,5,player2,0,13,9,False,True,hare
14,1,player1,1,16,14,True,True,miss
14,1,player2,13,20,0,True,True,miss
14,2,player1,4,4,9,True,True,stag
14,2,player2,5,3,8,True,True,stag
14,3,player1,6,10,19,True,True,stag
14,3,player2,5,11,20,True,True,stag
14,4,player1,0,11,5,True,True,miss
14,4,player2,5,8,0,True,True,miss
14,5,player1,12,0,12,True,True,miss
14,5,player2,16,12,0,True,True,miss
